TIME(SEC)	VEL(M/S)
0.05	0
0.1	0.141
0.15	0.933
0.2	3.103
0.25	7.261
0.3	12.565
0.35	17.284
0.4	20.987
0.45	23.887
0.5	26.202
0.55	28.165
0.6	30.008
0.65	31.784
0.7	33.543
0.75	35.284
0.8	37.004
0.85	38.704
0.9	40.382
0.95	42.039
1.25	51.49
1.3	52.981
1.35	54.447
1.4	55.887
1.45	57.301
1.5	58.689
1.55	60.051
1.6	61.387
1.65	62.637
1.7	63.743
1.75	64.295
1.8	63.888
1.85	63.007
1.9	62.137
1.95	61.278
2	60.429
2.05	59.591
2.1	58.762
2.15	57.943
2.2	57.133
2.25	56.333
2.3	55.541
2.35	54.759
2.4	53.984
2.45	53.218
2.5	52.46
2.55	51.71
2.6	50.968
2.65	50.233
2.7	49.505
2.75	48.784
2.8	48.071
2.85	47.364
2.9	46.664
2.95	45.971
3	45.283
3.4	39.997
3.45	39.361
3.5	38.73
3.55	38.103
3.6	37.482
3.65	36.865
3.7	36.253
3.75	35.646
3.8	35.043
3.85	34.444
3.9	33.849
3.95	33.259
4	32.673
4.05	32.09
4.1	31.512
4.15	30.937
4.2	30.367
4.25	29.8
4.3	29.236
4.35	28.676
4.4	28.12
4.45	27.567
4.5	27.018
4.55	26.472
4.6	25.929
4.65	25.389
4.7	24.853
4.75	24.32
4.8	23.79
4.85	23.263
4.9	22.739
4.95	22.219
5	21.701
5.05	21.187
5.1	20.675
5.15	20.167
9.1	20.235
9.15	20.668
9.2	21.099
9.25	21.53
9.3	21.96
9.35	22.388
9.4	22.815
9.45	23.242
9.5	23.667
9.55	24.09
9.6	24.512
9.65	24.933
9.7	25.352
9.75	25.769
9.8	26.185
9.85	26.599
9.9	27.012
9.95	27.422
10	27.831
10.05	28.238
10.1	28.643
10.15	29.046
10.2	29.448
10.25	29.847
10.3	30.244
10.35	30.639
10.4	31.032
10.45	31.423
10.5	31.812
10.55	32.198
10.6	32.583
10.65	32.965
10.7	33.345
10.75	33.723
10.8	34.098
10.85	34.471
10.9	34.842
10.95	35.211
11	35.577
11.05	35.94
11.1	36.302
11.15	36.661
11.2	37.017
11.5	39.105
11.55	39.444
11.6	39.781
11.65	40.115
11.7	40.447
11.75	40.776
11.8	41.103
11.85	41.427
11.9	41.749
11.95	42.068
12	42.385
12.05	42.699
12.1	43.01
12.15	43.319
12.2	43.625
12.25	43.929
12.3	44.231
12.35	44.529
12.4	44.826
12.45	45.119
12.5	45.41
12.55	45.699
12.6	45.985
12.65	46.268
12.95	47.916
13	48.182
13.05	48.446
13.1	48.707
13.15	48.965
13.2	49.221
13.25	49.475
13.3	49.726
13.35	49.974
13.4	50.22
13.45	50.464
13.5	50.706
13.55	50.945
13.6	51.181
13.65	51.415
13.7	51.647
13.75	51.876
13.8	52.104
13.85	52.328
13.9	52.551
13.95	52.771
14	52.989
14.05	53.204
14.1	53.417
14.15	53.628
14.2	53.837
